OTUID,OTU_group,Treatment,n_replicates,occupancy,retained,mean_RA,median_RA_present,median_RA_D0,occupancy_D0,log10_shift_vs_D0
OTU_3194,Rare OTUs,D1,14,0.2857142857142857,TRUE,1.0714508205547099e-5,3.10348772590163e-5,3.039323163704235e-5,0.7142857142857143,0.0063406763839850555
OTU_3194,Rare OTUs,D3,20,0,FALSE,0,0,3.039323163704235e-5,0.7142857142857143,-0.5180387209941637
OTU_3194,Rare OTUs,D5,20,0,FALSE,0,0,3.039323163704235e-5,0.7142857142857143,-0.5180387209941637
OTU_3194,Rare OTUs,D6,40,0,FALSE,0,0,3.039323163704235e-5,0.7142857142857143,-0.5180387209941637
OTU_3194,Rare OTUs,D7,40,0,FALSE,0,0,3.039323163704235e-5,0.7142857142857143,-0.5180387209941637
OTU_3195,Rare OTUs,D0,14,1,TRUE,7.083808637291541e-5,6.078504716473165e-5,6.078504716473165e-5,1,0
OTU_3195,Rare OTUs,D1,14,0.21428571428571427,TRUE,6.368767992202257e-6,3.00543984612148e-5,6.078504716473165e-5,1,-0.23296690572577727
OTU_3195,Rare OTUs,D3,20,0,FALSE,0,0,6.078504716473165e-5,1,-0.7476195842903328
OTU_3195,Rare OTUs,D5,20,0,FALSE,0,0,6.078504716473165e-5,1,-0.7476195842903328
OTU_3195,Rare OTUs,D6,40,0,FALSE,0,0,6.078504716473165e-5,1,-0.7476195842903328
OTU_3195,Rare OTUs,D7,40,0,FALSE,0,0,6.078504716473165e-5,1,-0.7476195842903328
OTU_3196,Rare OTUs,D0,14,0.42857142857142855,TRUE,3.455649318518513e-5,9.17767991688277e-5,9.17767991688277e-5,0.42857142857142855,0
OTU_3196,Rare OTUs,D1,14,0.07142857142857142,TRUE,2.1187877144213142e-6,2.96630280018984e-5,9.17767991688277e-5,0.42857142857142855,-0.38879947592046893
OTU_3196,Rare OTUs,D3,20,0,FALSE,0,0,9.17767991688277e-5,0.42857142857142855,-0.8995079516445035
OTU_3196,Rare OTUs,D5,20,0,FALSE,0,0,9.17767991688277e-5,0.42857142857142855,-0.8995079516445035
OTU_3196,Rare OTUs,D6,40,0,FALSE,0,0,9.17767991688277e-5,0.42857142857142855,-0.8995079516445035
OTU_3196,Rare OTUs,D7,40,0,FALSE,0,0,9.17767991688277e-5,0.42857142857142855,-0.8995079516445035
OTU_3197,Rare OTUs,D0,14,0.9285714285714286,TRUE,8.189528891951348e-5,6.03227265872417e-5,6.03227265872417e-5,0.9285714285714286,0
OTU_3197,Rare OTUs,D1,14,0.21428571428571427,TRUE,6.353164277116865e-6,2.96630280018984e-5,6.03227265872417e-5,0.9285714285714286,-0.23419005730048248
OTU_3197,Rare OTUs,D3,20,0,FALSE,0,0,6.03227265872417e-5,0.9285714285714286,-0.744898533024517
